cliente_codigo,cliente_nombre,cliente_razon_social,cliente_direccion,cliente_localidad,cliente_dpto,cliente_cel,cliente_tel,cliente_email,score,estacion_idx,estacion_nombre,estacion_marca,estacion_direccion,estacion_localidad,estacion_dpto,CONFIRMAR_LINK
10002354,Radial Mercedes ltda,Estación Ancap (Mercedes),Ruta 2 km 278,MERCEDES,SORIANO,091712608,4582-2981,radial@radialmercedes.com.uy,1.53,455,Radial Mercedes,ANCAP,"Ruta 2 Grito de Asencio Km 278,500",Mercedes,Soriano,
10001960,CASA AÑON S.A.,ESTACIÓN ANCAP,Rambla O'Hoggins 4897,MONTEVIDEO,MONTEVIDEO,,26190911,Casaanon@adinet.com.uy,1.4,43,ANCAP,ANCAP,Rambla O'Higgins 4897,Montevideo,Montevideo,
10001964,DIAMANTE S.A. (ESTACIÓN ANCAP),ESTACIÓN ANCAP 2,18 de Julio 1047,SAN CARLOS,MALDONADO,,42243640,varela@estaciones.com.uy,1.38,78,ANCAP,ANCAP,18 de Julio 1047,San Carlos,Maldonado,
10001948,ROMILDO PEREYRA,ESTACIÓN ANCAP,Av. José Batlle y Ordoñez 1805,SAN RAMÓN,CANELONES,,43122059,romildopereyra@adinet.com.uy,1.37,81,ANCAP,ANCAP,José Batlle y Ordóñez 1805,San Ramón,Canelones,
10002020,LARRAÑAGA S.R.L.,ESTACIÓN ANCAP,LUIS ALBERTO DE HERRERA 2803,MONTEVIDEO,MONTEVIDEO,097349875,097349875,atcliente@estacionlarra.com.uy,1.36,85,ANCAP,ANCAP,Avenida Luis Alberto de Herrera 2803,Montevideo,Montevideo,
10002429,Goobas SA,Estación Axion (Perimetral),Cesar Mayo Gutierrez 2686,MONTEVIDEO,MONTEVIDEO,099643872,099643872,ctascorrientesgrupoperimetral@gmail.com,1.35,266,Servicentro Perimetral,AXION,Ruta César Mayo Gutiérrez 2686,Montevideo,,
10002232,Sidney S.A,Estación Ancap,Av. Italia  6740,MONTEVIDEO,MONTEVIDEO,,2600-08-50,estacionitalia@adinet.com.uy,1.33,47,ANCAP,ANCAP,Avenida Italia 6740,Montevideo,Montevideo,
10002270,UDILER S.A,Udiler,Ruta Liber Seregni KM 53,LA FLORESTA,CANELONES,098283112 whatsapp,43738380,disalafloresta@vera.com.uy,1.31,214,Disa,DISA,Ruta Interbalnearia General Líber Seregni Km 53,La Floresta,Canelones,
10002347,DISA Misurol,DISA Misurol 1 (estacion Disa),Rbla. Dr. Baltasar Brum  2746,MONTEVIDEO,MONTEVIDEO,098405678,2208 8632/2200.99.20,proveedoresmisurol@disagrupo.uy,1.31,13,Disa,DISA,Rambla Doctor Baltasar Brum 2748,Montevideo,Montevideo,
10002077,BAT LTDA. (ESTACION DE SERVICIO),BAT LTDA. (ESTACION DE SERVICIO),BARTOLITO MITRE  2553,MONTEVIDEO,MONTEVIDEO,094467732,,pagos.batltda@gmail.com,1.29,115,Estacion San Jorge,ANCAP,Bartolito Mitre 2553,Montevideo,Montevideo,
10001930,LANCAM (Estación Ancap),Ancap (Garzon 1599),Av Eugenio Garzón  1599,MONTEVIDEO,MONTEVIDEO,099551183,23201837,estacionlancam@gmail.com,1.29,286,Estación San Antonio,AXION,Avenida General Eugenio Garzón 425,Montevideo,,
10002025,VIENTONOR S.A. (ESTACIÓN DISA),ESTACIÓN DISA (VIENTONOR),MILLAN  4110,MONTEVIDEO,MONTEVIDEO,,097405253,dsena@vientonor.com.uy,1.29,286,Estación San Antonio,AXION,Avenida General Eugenio Garzón 425,Montevideo,,
10001913,FRAMBUE SAS,ESTACIÓN AXION,Camino la redención 7000,MONTEVIDEO,MONTEVIDEO,099440297,23217000,axionlaredencion@gmail.com,1.28,286,Estación San Antonio,AXION,Avenida General Eugenio Garzón 425,Montevideo,,
10002345,Misurol 3,Misurol 3 (Estacion Disa Ciudad de la Costa),AV Giannattasio 8300,CIUDAD DE LA COSTA,CANELONES,098405678,2200.99.20,proveedoresmisurol@disagrupo.uy,1.27,189,Servicentro Ciudad de la Costa,AXION,Avenida Ingeniero Luis Giannattasio Km 20.200,Ciudad de la Costa,Canelones,
